Agregat pr•dotw¢rczy przewo´ny - 5,9 kW 230/400V Honda GEKO;1;Dach
Dziaàko wodno-pianowe przewo´ne - 1400 dm3/min w koszu;1;Dach
Szybkie natarcie wodno-pianowe w koszu;1;Dach
Gaònica proszkowa 2kg;1;Kabina
Latarka MAN z àadowark•;1;Kabina
Lampa - 0,07kW Szperacz r©czny;1;Kabina
Reflektor - 0,07kW Szperacz pogorzeliskowy;1;Kabina
Latarka ADALIT L-3000 z àadowark•;1;Kabina
Latarka ADALIT L-3000 z àadowark•;1;Kabina
Latarka ADALIT L-3000 z àadowark•;1;Kabina
Radiotelefon - Przenoòny MOTOROLA GP360;2;Kabina
Radiotelefon - Przewo´ny MOTOROLA GM360;1;Kabina
Podkàad drewniany pod podpory;2;Podest lewy
Agregat hydrauliczny awaryjnego skàadania HONDA GX 200;1;Podest lewy
Podkàad drewniany pod podpory;2;Podest prawy
Szufla Fiskars;1;Skrytka lewa I
ùa‰cuch do piày;1;Skrytka lewa I
W•æ tàoczny W-75 ;2;Skrytka lewa I
W•æ tàoczny W-52 ;2;Skrytka lewa I
Przeà•cznik 75/52 ;1;Skrytka lewa I
Pr•downica wodno-pianowa typu TURBO - 400 dm3/min ;1;Skrytka lewa I
Piàa àa‰cuchowa STIHL MS 311;1;Skrytka lewa I
ùom wielofunkcyjny ;1;Skrytka lewa I
Prowadnica do pilarki;1;Skrytka lewa I
Top¢r straæacki ;1;Skrytka lewa I
Noæyce do pr©t¢w;1;Skrytka lewa I
Siekiera fiskars;1;Skrytka lewa I
Skokochron - 11 Skokochron  ;1;Skrytka lewa II
Butla do skokochronu - 30MPa/6dm3 stalowa NR 17;1;Skrytka lewa II
Aparat powietrzny nadciònieniowy AIR MAX NR11;1;Skrytka prawa I
Sygnalizator bezruchu MOTION SCAUT NR 9;1;
Butla do aparatu - 30MPa/6,9dm3 kompozytowa z pokrowcem nr 10;1;
W•æ do odprowadzania spalin agregatu;1;Skrytka prawa I
Maska nadciònieniowa G1 MSA;1;Skrytka prawa I
Aparat powietrzny nadciònieniowy AIR MAX nr 12;1;Skrytka prawa I
Butla do aparatu - 30MPa/6,9dm3 kompozytowa nr 12;1;
Sygnalizator bezruchu nr 12;1;
Aparat powietrzny nadciònieniowy AIR MAX nr 10;1;Skrytka prawa I
Butla do aparatu - 30MPa/6,9dm3 kompozytowa nr 15;1;
Sygnalizator bezruchu nr 13;1;
Gaònica GP 6X ;1;Skrytka prawa I
Zestaw PSP - R1 ;1;Skrytka prawa I
Szelki ratownicze PROTEKT P-90;1;Skrytka prawa II
Lampa - 0,16kW do kosza na stelaæu;2;Skrytka prawa II
Rozkàadana drabinka teleskopowa;1;Skrytka prawa II
Przew¢d uziemiaj•cy ;1;Skrytka prawa II
Taòma alpinistyczna AZ 900;1;Skrytka prawa II
Wspornik do Rollglis'a;1;Skrytka prawa II
Taòma ostrzegawcza ;1;Skrytka prawa II
Reflektor - 0,7kW ;1;Skrytka prawa II
Tuba formuj•ca do dziaàka;1;Skrytka prawa II
Bloczek ratowniczy Rollglis;1;Skrytka prawa II
Lina asekuracyjna do aparatu ROLLGLISS;1;Skrytka prawa II
Worek na sprz©t wysokoòciowy(Nr 3);1;Skrytka prawa II
Karabinek alpinistyczny zakr©cany o duæym przeòwicie;1;Skrytka lewa II
P©tla alpinistyczna stanowiskowa 150 (Nr 3);1;Skrytka prawa II
Karabinek alpinistyczny zakr©cany o duæym przeòwicie (Nr 3);1;Skrytka prawa II
Karabinek alpinistyczny zakr©cany o duæym przeòwicie (Nr 3);1;Skrytka prawa II
P©tla alpinistyczna stanowiskowa 150 (Nr 3);1;Skrytka prawa II
Lina ratownicza statyczna (Nr 3);1;Skrytka prawa II
P©tla alpinistyczna stanowiskowa 100 (Nr 3);1;Skrytka prawa II
P©tla alpinistyczna stanowiskowa 100 (Nr 3);1;Skrytka prawa II
P©tla alpinistyczna stanowiskowa 100 (Nr 3);1;Skrytka prawa II
Lonæa asekuracyjna Grillon (Nr 3);1;Skrytka prawa II
Lonæa asekuracyjna  (Nr 3);1;Skrytka prawa II
Bloczek do liny z rolk• z aluminium (Nr 3);1;Skrytka prawa II
Przyrz•d zjazdowy I'D S (Nr 3);1;Skrytka prawa II
Karabinek alpinistyczny zakr©cany o duæym przeòwicie (Nr 3);1;Skrytka prawa II
P©tla alpinistyczna stanowiskowa 100 (Nr 3);1;Skrytka prawa II
Klucze do nasad 52/75 (Nr 3);2;Skrytka prawa II
Lina ratownicza SLR- 30 gospodarcza (Nr 3);1;Skrytka prawa II
Linkowy aparat ratowniczy Rollglis (Nr 3);1;Skrytka prawa II
Szelki ratownicze PROTEKT P-90 (Nr 3);1;Skrytka prawa II
